ID;LAT;LNG;DCIA;TIPO;CUARTEL;GESTION;CALLE_OFIC;INTERS;ALTURA;DIRECC;CPA;TEL;BARRIO;COMUNA;OBSERVACION
13;-34.629246347664939;-58.460112544364108;DIVISION CUARTEL VII FLORES;CUARTEL;VII;POLICIA FEDERAL ARGENTINA;FALCON RAMON L.CNEL.;;2255;2255 FALCON RAMON L.CNEL.;C1406GNS;4632-2222;FLORES;COMUNA 7;
14;-34.665966339284552;-58.495723557333058;DIVISION CUARTEL VIII NUEVA CHICAGO;CUARTEL;VIII;POLICIA FEDERAL ARGENTINA;DE LA TORRE LISANDRO;;2830;2830 DE LA TORRE LISANDRO;C1440EDQ;4687-2222;MATADEROS;COMUNA 9;
15;-34.629211898703296;-58.524137536977229;DIVISION CUARTEL IX VERSAILLES;CUARTEL;IX;POLICIA FEDERAL ARGENTINA;PORCEL DE PERALTA MANUEL;;730;730 PORCEL DE PERALTA MANUEL;C1408CBJ;4641-0326;VERSALLES;COMUNA 10;
16;-34.598276161994491;-58.51554162328479;SECCION VILLA DEVOTO;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;CUBAS JOSE;;4142;4142 CUBAS JOSE;C1419GOH;4501-2222;VILLA DEVOTO;COMUNA 11;
17;-34.638048315916159;-58.357393851311663;SECCION LA BOCA;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;BROWN ALTE.;PEDRO DE MENDOZA;;BROWN ALTE. & DE MENDOZA PEDRO;C1159ABG;4301-2121;BOCA;COMUNA 4;
18;-34.683706160370718;-58.469693664763312;DIVISION CUARTEL X LUGANO;CUARTEL;X;POLICIA FEDERAL ARGENTINA;CAFAYATE;ANA DIAZ;;CAFAYATE & ANA DIAZ;C1439FUT;4605-4242;VILLA LUGANO;COMUNA 8;
19;-34.586105994847621;-58.375421074662079;SECCION RETIRO;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;TERMINAL DE OMNIBUS DE RETIRO;;;TERMINAL DE OMNIBUS DE RETIRO;C1104ADU;4313-7343;RETIRO;COMUNA 1;
20;-34.6080672233117;-58.408383217441369;SECCION MISERERE;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;PERON JUAN DOMINGO TTE GENERAL;;2930;2930 PERON JUAN DOMINGO TTE GENERAL;C1198AAD;4863-1144;BALVANERA;COMUNA 3;
21;-34.673010567996116;-58.486279540800091;DIVISION CUARTEL XI ALBARIÑO;CUARTEL;XI;POLICIA FEDERAL ARGENTINA;SANTANDER;;5955;5955 SANTANDER;C1439ATC;4601-8801;VILLA LUGANO;COMUNA 8;
22;-34.581198683617387;-58.375149607778283;CUARTEL CENTRAL PREFECTURA NAVAL ARGENTINA;CUARTEL CENTRAL;;PREFECTURA NAVAL ARGENTINA;PREFECTURA NAVAL ARGENTINA;CASTILLO, RAMON S. P;;PREFECTURA NAVAL ARGENTINA & CASTILLO RAMON S. RES;C1104ACO;4576-7639;RETIRO;COMUNA 1;
23;-34.618493738819872;-58.356498333357003;DESTACAMENTO PREFECTURA NAVAL ARGENTINA;DESTACAMENTO;;PREFECTURA NAVAL ARGENTINA;ESPAÑA AV;RAWSON DE DELLEPIANE;;ESPAÑA AV & RAWSON DE DELLEPIANE ELVIRA AV;C1107DBN;4576-7639;BOCA;COMUNA 4;
24;-34.625076518646317;-58.36769753588915;VOLUNTARIO DE SAN TELMO PUERTO MADERO;VOLUNTARIOS;;VOLUNTARIOS;BRASIL AV;PASEO COLON AV;;BRASIL AV & PASEO COLON AV;C1063AAC;4307-3333;SAN TELMO;COMUNA 1;
25;-34.644296874043455;-58.36060399094162;VOLUNTARIOS VUELTA DE ROCHA;VOLUNTARIOS;;VOLUNTARIOS;GARIBALDI;;2042;2042 GARIBALDI;C1167ACP;4302-2222;BOCA;COMUNA 4;
26;-34.635323216122764;-58.361897270601126;VOLUNTARIOS DE LA BOCA;VOLUNTARIOS;;VOLUNTARIOS;BRANDSEN;;567;567 BRANDSEN;C1161AAK;4361-2222;BOCA;COMUNA 4;
27;-34.665073246722386;-58.441109860223087;VOLUNTARIOS VILLA SOLDATI;VOLUNTARIOS;;VOLUNTARIOS;TABARE;;3294;3294 TABARE;C1437FIT;4919-9999;VILLA SOLDATI;COMUNA 8;
28;-34.640014248657536;-58.505085025337401;DESTACAMENTO 54 LINIERS;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;BASUALDO;;165;165 BASUALDO;C1408HUC;3085-4031;VILLA LURO;COMUNA 10;
