X;Y;ID;NOMBRE;CALLE;ALTURA;CALLE2;DIRECCION;CIRCUNSCRI;TELEFONOS;OBSERVACIO;OBSERVAC_1;BARRIO;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58,5240388490474;-34,6295361234334;50;COMISARIA 44;PORCEL DE PERALTA MANUEL;726;;PORCEL DE PERALTA, MANUEL 726;VIII;4641-3333/3827/4642-7777;;;VERSALLES;VERSALLES;COMUNA 10;1408;C1408CBJ
-58,4837795082987;-34,6288066853747;23;COMISARIA 43;CHIVILCOY;453;;CHIVILCOY 453;VII;4671-2209/4444;;;FLORESTA;FLORESTA;COMUNA 10;1407;C1407AEG
-58,4249262384203;-34,6286410416508;37;COMISARIA 10;MUÑIZ;1250;;MUÑIZ 1250;VI;4922-1229 /4922-3333;;;BOEDO;BOEDO;COMUNA 5;1255;C1255ACD
-58,4480872125897;-34,6267799123199;8;COMISARIA 12;VALLE;1454;;VALLE 1454;VI;4432-3334/3922;;;CABALLITO;CABALLITO;COMUNA 6;1406;C1406GTH
-58,4032266269794;-34,6260322318379;41;COMISARIA 20;CATAMARCA;1345;;CATAMARCA 1345;II;4941-3333/4079;;;SAN CRISTOBAL;SAN CRISTOBAL;COMUNA 3;1246;C1246AAC
-58,3728761245520;-34,6245638595814;9;COMISARIA 14;BOLIVAR;1419;;BOLIVAR 1419;I;4362-3333/6473;;;SAN TELMO;SAN TELMO;COMUNA 1;1141;C1141AAE
-58,3856077728846;-34,6226700503651;43;COMISARIA 16;SAN JOSE;1224;;SAN JOSE 1224;IV;4306-3333/4067;;;CONSTITUCION;CONSTITUCION;COMUNA 1;1136;C1136AAB
-58,4532210423583;-34,6203822656691;38;COMISARIA 13;AVELLANEDA;1548;;AVELLANEDA AV. 1548;VI;4631-5983/ 4632-9051/9129;;;CABALLITO;CABALLITO;COMUNA 6;1406;C1406FYN
-58,3785774936627;-34,6171616104688;4;COMISARIA 4;TACUARI;770;;TACUARI 770;I;4331-9643 /4342-3333;;;MONSERRAT;MONSERRAT;COMUNA 1;1071;C1071AAP
-58,4092109498915;-34,6170545865481;35;COMISARIA 8;URQUIZA GRAL.;550;;URQUIZA, GRAL. 550;II;4923-3171 / 4931-3333 /3531;;;BALVANERA;BALVANERA;COMUNA 3;1221;C1221ADB
-58,3665903701676;-34,6149735222436;40;COMISARIA 22;HUERGO ING.;640;;HUERGO, ING. AV. 640;I;4331-1873/4444;;;PUERTO MADERO;PUERTO MADERO;COMUNA 1;1107;C1107AOT
-58,3936751080702;-34,6148898243296;36;COMISARIA 6;VENEZUELA;1931;;REPUBLICA BOLIVARIANA DE VENEZUELA 1931;II;4942-2333 / 2965/ 3333;;;BALVANERA;BALVANERA;COMUNA 3;1096;C1096ABG
-58,4729911435276;-34,6111204124573;21;COMISARIA 41;BUFANO ALFREDO R.;1800;;BUFANO, ALFREDO R. 1800;VII;4581-3155/4582-3333/4585-5458;;;VILLA GRAL. MITRE;VILLA GRAL;COMUNA 11;1416;C1416AJL
-58,4155587634678;-34,6044286003643;7;COMISARIA 9;BILLINGHURST;471;;BILLINGHURST 471;II;4861-5507 /4862-3333;;;ALMAGRO;ALMAGRO;COMUNA 5;1174;C1174ABG
-58,3947891246572;-34,6034184155356;5;COMISARIA 5;LAVALLE;1958;;LAVALLE 1958;II;4953-2273/3323;;;BALVANERA;BALVANERA;COMUNA 3;1051;C1051ABD
-58,4040106409430;-34,6032111757525;6;COMISARIA 7;LAVALLE;2625;;LAVALLE 2625;II;4961-3333/7342 / 4964-3421;;;BALVANERA;BALVANERA;COMUNA 3;1052;C1052AAG
-58,3888958784312;-34,6019397377213;3;COMISARIA 3;TUCUMAN;1560;;TUCUMAN 1560;I;4371-3333 /4373-6194/4374-0454;;;SAN NICOLAS;SAN NICOLAS;COMUNA 1;1050;C1050AAF
-58,3732447121941;-34,6019061749623;1;COMISARIA 1;LAVALLE;451;;LAVALLE 451;I;4322-8033/8221;;;SAN NICOLAS;SAN NICOLAS;COMUNA 1;1047;C1047AAI
-58,4410843014064;-34,5993205592476;45;COMISARIA 27;CAMARGO;645;;CAMARGO 645;V;4854-1747 / 4855-3333;;;VILLA CRESPO;VILLA CRESPO;COMUNA 15;1414;C1414AHM
-58,5156058774718;-34,5983146485397;27;COMISARIA 45;CUBAS JOSE;4154;;CUBAS, JOSE 4154;VII;4501-3333/4111/4503-9603/4504-3333/5555;;;VILLA DEVOTO;VILLA DEVOTO;COMUNA 11;1419;C141
-58,3801780189881;-34,5946429122572;10;COMISARIA 15;SUIPACHA;1156;;SUIPACHA 1156;III;4393-0076/3333/7058;;;RETIRO;RETIRO;COMUNA 1;1008;C1008AAX
-58,4067192920302;-34,5940785225935;29;COMISARIA 19;CHARCAS;2844;;CHARCAS 2844;III;4822-3333/6311;;;RECOLETA;RECOLETA;COMUNA 2;1425;C1425BMH
-58,4276086108198;-34,5924421143164;31;COMISARIA 25;SCALABRINI ORTIZ RAUL;1350;;SCALABRINI ORTIZ, RAUL AV. 1350;V;4831-1578 / 4832-3333;;;PALERMO;PALERMO;COMUNA 14;1414;C1414DON
-58,4526312696985;-34,5921591177849;46;COMISARIA 29;DUMONT SANTOS;4350;;DUMONT, SANTOS 4350;V;4854-3333/6357;;;CHACARITA;CHACARITA;COMUNA 15;1427;C1427EIT
-58,3923585768206;-34,5911369458734;11;COMISARIA 17;LAS HERAS GRAL.;1861;;LAS HERAS GENERAL AV. 1861;III;4801-1698/3333;;;RECOLETA;RECOLETA;COMUNA 2;1127;C1127AAA
-58,4512303932828;-34,5904201897966;57;COMISARIA COMUNA 15;GUZMAN;396;;GUZMAN 396;;4556-3200/4309-6015;ESTA COMISARIA CUENTA CON UNA DEPENDENCIA DEL MINISTERIO PUBLICO FISCAL;;CHACARITA;CHACARITA;COMUNA 15;1427;C1427BOQ
-58,4993672554820;-34,5897128349577;24;COMISARIA 47;NAZCA;4254;;NAZCA 4254;VII;4572-3333/3526;;;VILLA PUEYRREDON;VILLA PUEYRREDON;COMUNA 12;1419;C1419DFS
-58,4159273031662;-34,5877320976925;34;COMISARIA 21;ALVAREZ JULIAN;2373;;ALVAREZ, JULIAN 2373;III;4821-5056 / 4823- 0142/3333;;;PALERMO;PALERMO;COMUNA 14;1425;C1425DHI
-58,3694497390626;-34,5842523880991;28;COMISARIA 46;DE LOS INMIGRANTES;2550;;DE LOS INMIGRANTES AV. 2550;I;4312-3333/9785;;;RETIRO;RETIRO;COMUNA 1;1104;C1104ADU
-58,4201379203008;-34,5825222330524;30;COMISARIA 23;SANTA FE;4000;;SANTA FE AV. 4000;III;4831-3333 /4832-5260;;;PALERMO;PALERMO;COMUNA 14;1425;C1425BHO
-58,4136589185154;-34,5812697229336;53;COMISARIA 53;REPUBLICA ARABE-SIRIA;2961;;REPUBLICA ARABE SIRIA 2961;III;4801-3332/4805-7928/4806-1666;;;PALERMO;PALERMO;COMUNA 14;1425;C1425EYI
-58,4900574089335;-34,5786894695053;49;COMISARIA 39;OLAZABAL;5437;;OLAZABAL AV. 5437;VII;4521-0028/ 4522-3333;;;VILLA URQUIZA;VILLA URQUIZA;COMUNA 12;1431;C1431CGK
-58,4389557998154;-34,5733085675013;32;COMISARIA 31;CABILDO;232;;CABILDO AV. 232;V;4771-3333 /4773-3315;;;PALERMO;PALERMO;COMUNA 14;1426;C1426AAP
-58,4758210914332;-34,5731162803379;33;COMISARIA 37;JURAMENTO;4367;;JURAMENTO 4367;V;4544-3330/4747;;;VILLA URQUIZA;VILLA URQUIZA;COMUNA 12;1430;C1430BSU
-58,4562848137145;-34,5601447691271;17;COMISARIA 33;MENDOZA;2263;;MENDOZA 2263;V;4781-3333/8936/4784-0651;;;BELGRANO;BELGRANO;COMUNA 13;1428;C1428DKK
-58,4440680276915;-34,5548216469012;52;COMISARIA 51;ARTILLEROS;2081;;ARTILLEROS 2081;V;4784-4047/9940;;;BELGRANO;BELGRANO;COMUNA 13;1428;C1428AUE
-58,4909092368637;-34,5511030842355;56;COMISARIA COMUNA 12;RAMALLO;4398;;RAMALLO 4398;;4546-5600;ESTA COMISARIA CUENTA CON UNA DEPENDENCIA DEL MINISTERIO PUBLICO FISCAL;;SAAVEDRA;SAAVEDRA;COMUNA 12;1430;C1430CQD
-58,3747272916205;-34,6472840502920;15;COMISARIA 30;CALIFORNIA;1850;;CALIFORNIA 1850;IV;4300-6338 / 4307-4644/5153;;;BARRACAS;BARRACAS;COMUNA 4;1289;C1289AAL
-58,4763367065064;-34,6414623106390;20;COMISARIA 40;REMEDIOS;3748;;REMEDIOS 3748;VIII;4671-3333/4672-1824/4674-3111;;;PARQUE AVELLANEDA;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HJJ
-58,4582560028220;-34,6309235325510;48;COMISARIA 38;BONORINO ESTEBAN CNEL.;258;;BONORINO, ESTEBAN, CNEL. AV. 258;VI;4631-3333/7827/4633-4613;;;FLORES;FLORES;COMUNA 7;1406;C1406DMF
-58,3907486682826;-34,6225867587760;42;COMISARIA 18;AV SAN JUAN;1757;;SAN JUAN AV. 1757;II;4304-3203/4300 /4305-3333;;;CONSTITUCION;CONSTITUCION;COMUNA 1;1148;C1148AAF
-58,3741471240845;-34,6202784886290;2;COMISARIA 2;PERU;1056;;PERU 1056;I;4307-0537/4361 -8054 /66;;;SAN TELMO;SAN TELMO;COMUNA 1;1068;C1068AAL
-58,4648209215308;-34,6161137159670;51;COMISARIA 50;GAONA;2738;;GAONA AV. 2738;VI;4581-1254/4444;;;FLORES;FLORES;COMUNA 7;1416;C1416DSP
-58,4395014329687;-34,6089785701230;39;COMISARIA 11;DIAZ VELEZ;5152;;DIAZ VELEZ AV. 5152;VI;4982-4509/4520;;;CABALLITO;CABALLITO;COMUNA 6;1405;C1405DCT
-58,4825254468868;-34,5651450980170;26;COMISARIA 49;MACHAIN;3045;;MACHAIN 3045;VII;4541-4444/8142;;;VILLA URQUIZA;VILLA URQUIZA;COMUNA 12;1430;C1430DYA
-58,4633266271395;-34,5513755049490;18;COMISARIA 35;CUBA;3145;;CUBA 3145;VII;4701-9168 /4702-3337/4703-3333;;;NUÃ‘EZ;NUÑEZ;COMUNA 13;1429;C1429AXG
-58,4171560073913;-34,6447947419400;47;COMISARIA 34;QUILMES;456;;QUILMES 456;VI;4911-4444/5506;;;NUEVA POMPEYA;NUEVA POMPEYA;COMUNA 4;1437;C1437DLJ
