property_type	place_name	country_name	state_name	lat	lon	price	currency	surface_total_in_m2
apartment	Belgrano	Argentina	Capital Federal	-34.5652650561	-58.438232801999995	237895.0	USD	69.0
apartment	Belgrano	Argentina	Capital Federal	-34.5652650561	-58.438232801999995	237895.0	USD	69.0
apartment	Flores	Argentina	Capital Federal	-34.6255474	-58.4688765	99000.0	USD	65.0
apartment	Nuñez	Argentina	Capital Federal	-34.542750299999994	-58.46014520000001	229000.0	USD	66.0
apartment	Nuñez	Argentina	Capital Federal	-34.542750299999994	-58.46014520000001	135000.0	USD	45.0
apartment	Recoleta	Argentina	Capital Federal	-34.588348789899996	-58.3900529339	620000.0	USD	191.0
apartment	Belgrano	Argentina	Capital Federal	-34.5640079	-58.45670429999999	92600.0	USD	33.0
apartment	Caballito	Argentina	Capital Federal	-34.610434999999995	-58.443029	445000.0	USD	158.0
PH	Almagro	Argentina	Capital Federal	-34.56910735	-58.40848979999999	165000.0	USD	85.0
apartment	Palermo	Argentina	Capital Federal	-34.5888617	-58.41230720000001	147300.0	USD	39.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.611463536900004	-58.3627451275	550000.0	USD	109.0
apartment	Constitución	Argentina	Capital Federal	-34.6304059	-58.38275110000001	88900.0	USD	90.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.6194333916	-58.3613734778	1195000.0	USD	198.0
apartment	Belgrano	Argentina	Capital Federal	-34.5620844	-58.4566864	340000.0	USD	128.0
PH	Mataderos	Argentina	Capital Federal	-34.6572422	-58.5029706	53000.0	USD	28.0
apartment	Recoleta	Argentina	Capital Federal	-34.5955984	-58.4127129	120000.0	USD	33.0
apartment	Palermo	Argentina	Capital Federal	-34.5664787494	-58.4340748222	440000.0	USD	175.0
apartment	Colegiales	Argentina	Capital Federal	-34.5769639	-58.4514688	238000.0	USD	126.0
apartment	Villa Urquiza	Argentina	Capital Federal	-34.56178060000001	-58.4928894	267500.0	USD	127.0
apartment	Villa Crespo	Argentina	Capital Federal	-34.5950254	-58.4381255	305000.0	USD	120.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.5837821	-58.40422750000001	98000.0	USD	37.0
apartment	Palermo Hollywood	Argentina	Capital Federal	-34.5765042465	-58.4314684478	135000.0	USD	47.0
apartment	Saavedra	Argentina	Capital Federal	-34.555257	-58.492172	95000.0	USD	38.0
apartment	Saavedra	Argentina	Capital Federal	-34.555257	-58.492172	181000.0	USD	71.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1099350.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1113420.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1127700.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1141980.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1327515.0	ARS	32.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1344630.0	ARS	32.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1361745.0	ARS	32.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1105545.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1120035.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1134525.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1148910.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1163400.0	ARS	27.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1330665.0	ARS	33.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1348200.0	ARS	33.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1365630.0	ARS	33.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1176525.0	ARS	28.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1191540.0	ARS	28.0
apartment	Paternal	Argentina	Capital Federal	-34.603593700000005	-58.4654251	1206555.0	ARS	28.0
store	Recoleta	Argentina	Capital Federal	-34.5959674	-58.4097736	139000.0	USD	33.0
apartment	Caballito	Argentina	Capital Federal	-34.6064821857	-58.45840488050001	64500.0	USD	28.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.617915100000005	-58.3617661	350000.0	USD	54.0
apartment	Agronomía	Argentina	Capital Federal	-34.5924699	-58.4944042	140000.0	USD	56.0
PH	Villa Pueyrredón	Argentina	Capital Federal	-34.5807783	-58.5058262	198000.0	USD	116.0
apartment	Caballito	Argentina	Capital Federal	-34.609806299999995	-58.4547167	91000.0	USD	42.0
apartment	Coghlan	Argentina	Capital Federal	-34.561509	-58.4688221	96000.0	USD	39.0
apartment	Palermo	Argentina	Capital Federal	-34.590242879899996	-58.4364018732	179000.0	USD	70.0
apartment	Almagro	Argentina	Capital Federal	-34.609693799999995	-58.41981850000001	210000.0	USD	77.0
apartment	Caballito	Argentina	Capital Federal	-34.6040507	-58.4324956	355000.0	USD	200.0
apartment	Parque Centenario	Argentina	Capital Federal	-34.6040507	-58.4324956	355000.0	USD	200.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.617915100000005	-58.3617661	350000.0	USD	54.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.617915100000005	-58.3617661	330000.0	USD	54.0
apartment	San Telmo	Argentina	Capital Federal	-34.626675382399995	-58.37266568890001	108356.0	USD	41.0
apartment	Almagro	Argentina	Capital Federal	-34.6176909	-58.4228255	120000.0	USD	56.0
apartment	Monserrat	Argentina	Capital Federal	-34.6130871	-58.38135989999999	120000.0	USD	60.0
apartment	Recoleta	Argentina	Capital Federal	-34.590333	-58.38647710000001	690000.0	USD	235.0
house	Floresta	Argentina	Capital Federal	-34.633832700000006	-58.4926895	280000.0	USD	200.0
apartment	Belgrano	Argentina	Capital Federal	-34.57478820000001	-58.46376850000001	520000.0	USD	150.0
apartment	Recoleta	Argentina	Capital Federal	-34.5910354	-58.40062320000001	378000.0	USD	140.0
apartment	Flores	Argentina	Capital Federal	-34.6182635	-58.46745799999999	120000.0	USD	120.0
apartment	Boca	Argentina	Capital Federal	-34.633761	-58.360234	140000.0	USD	83.0
store	San Telmo	Argentina	Capital Federal	-34.624470200000005	-58.37117420000001	164000.0	USD	75.0
store	San Telmo	Argentina	Capital Federal	-34.6211839	-58.37311629999999	210000.0	USD	79.0
PH	Mataderos	Argentina	Capital Federal	-34.650603600000004	-58.49614570000001	245000.0	USD	326.0
apartment	Caballito	Argentina	Capital Federal	-34.6209278	-58.44587360000001	65500.0	USD	28.0
PH	Mataderos	Argentina	Capital Federal	-34.6569204	-58.4897843	165000.0	USD	150.0
house	Parque Avellaneda	Argentina	Capital Federal	-34.646054799999995	-58.4911219	160000.0	USD	191.0
apartment	Boca	Argentina	Capital Federal	-34.6344961	-58.36313370000001	53000.0	USD	33.0
apartment	Coghlan	Argentina	Capital Federal	-34.56150820000001	-58.4688228	214000.0	USD	104.0
apartment	Palermo	Argentina	Capital Federal	-34.571149600000005	-58.4232966	310000.0	USD	106.0
apartment	Recoleta	Argentina	Capital Federal	-34.5955984	-58.4127129	167000.0	USD	43.0
apartment	San Telmo	Argentina	Capital Federal	-34.6211839	-58.37311629999999	94000.0	USD	55.0
store	Barrio Norte	Argentina	Capital Federal	-34.594538	-58.3962794	600000.0	USD	210.0
apartment	Boca	Argentina	Capital Federal	-34.6344961	-58.36313370000001	94000.0	USD	55.0
apartment	Barracas	Argentina	Capital Federal	-34.634537	-58.3591752	94000.0	USD	55.0
apartment	Recoleta	Argentina	Capital Federal	-34.5895459	-58.39736360000001	105000.0	USD	28.0
apartment	Recoleta	Argentina	Capital Federal	-34.5955984	-58.4127129	130000.0	USD	37.0
apartment	Recoleta	Argentina	Capital Federal	-34.5955984	-58.4127129	235000.0	USD	61.0
apartment	Palermo	Argentina	Capital Federal	-34.5927419	-58.406147	155000.0	USD	43.0
apartment	Palermo	Argentina	Capital Federal	-34.5927419	-58.406147	245000.0	USD	75.0
apartment	Almagro	Argentina	Capital Federal	-34.5978120648	-58.425596533400004	78490.0	USD	38.0
apartment	Colegiales	Argentina	Capital Federal	-34.5849243283	-58.4522777509	98000.0	USD	31.0
PH	Belgrano	Argentina	Capital Federal	-34.5666711	-58.4720061	152000.0	USD	52.0
PH	Belgrano	Argentina	Capital Federal	-34.5666711	-58.4720061	152000.0	USD	52.0
PH	Belgrano	Argentina	Capital Federal	-34.5666225	-58.4721291	152000.0	USD	52.0
PH	Coghlan	Argentina	Capital Federal	-34.5666643	-58.471989	152000.0	USD	52.0
PH	Coghlan	Argentina	Capital Federal	-34.5666643	-58.471989	152000.0	USD	52.0
apartment	San Cristobal	Argentina	Capital Federal	-34.62395	-58.3959922	115000.0	USD	70.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.5993216	-58.3944644	100000.0	USD	29.0
apartment	Colegiales	Argentina	Capital Federal	-34.570851399999995	-58.44876310000001	185000.0	USD	53.0
apartment	Flores	Argentina	Capital Federal	-34.6284062566	-58.4659506445	100000.0	USD	50.0
apartment	Flores	Argentina	Capital Federal	-34.6284062566	-58.4659506445	105000.0	USD	50.0
apartment	Flores	Argentina	Capital Federal	-34.627185600000004	-58.481557	85000.0	USD	51.0
PH	Almagro	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Almagro	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Almagro	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Boedo	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Boedo	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Boedo	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Balvanera	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Balvanera	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
PH	Balvanera	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Balvanera	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Balvanera	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Boedo	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Boedo	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Boedo	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Almagro	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Almagro	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Almagro	Argentina	Capital Federal	-34.61591370000001	-58.41585870000001	289000.0	USD	228.0
apartment	Caballito	Argentina	Capital Federal	-34.6259473144	-58.4328219442	158000.0	USD	71.0
apartment	Belgrano	Argentina	Capital Federal	-34.572860247	-58.4396162589	585000.0	USD	304.0
apartment	Belgrano	Argentina	Capital Federal	-34.572860247	-58.4396162589	585000.0	USD	304.0
apartment	Palermo	Argentina	Capital Federal	-34.5803723	-58.4143806	465000.0	USD	159.0
apartment	Palermo	Argentina	Capital Federal	-34.57154091	-58.4321322175	185000.0	USD	36.0
apartment	Coghlan	Argentina	Capital Federal	-34.5644671	-58.4723081	138000.0	USD	66.0
apartment	Flores	Argentina	Capital Federal	-34.6329048	-58.46720799999999	63000.0	USD	31.0
house	Caballito	Argentina	Capital Federal	-34.610347999999995	-58.4477353	250000.0	USD	110.0
apartment	Abasto	Argentina	Capital Federal	-34.6077076	-58.4119182	99000.0	USD	52.0
apartment	Nuñez	Argentina	Capital Federal	-34.5499327522	-58.450782827	360000.0	USD	147.0
apartment	Belgrano	Argentina	Capital Federal	-34.5499217064	-58.4508016024	360000.0	USD	147.0
apartment	Belgrano	Argentina	Capital Federal	-34.5639829756	-58.45013017300001	1450000.0	USD	463.0
apartment	Versalles	Argentina	Capital Federal	-34.6346259	-58.5102914	125000.0	USD	50.0
PH	Villa del Parque	Argentina	Capital Federal	-34.6100791	-58.47885079999999	280000.0	USD	230.0
apartment	Monte Castro	Argentina	Capital Federal	-34.6182787	-58.50052120000001	97000.0	USD	51.0
apartment	Floresta	Argentina	Capital Federal	-34.6325102	-58.4861727	69000.0	USD	40.0
apartment	Monte Castro	Argentina	Capital Federal	-34.618587700000006	-58.4996568	135000.0	USD	63.0
apartment	Retiro	Argentina	Capital Federal	-34.600208096799996	-58.3782497051	140000.0	USD	45.0
apartment	Recoleta	Argentina	Capital Federal	-34.586109	-58.3875047	179500.0	USD	40.0
apartment	Capital Federal	Argentina	Capital Federal	-34.6108622	-58.4117063	120000.0	USD	62.0
store	San Cristobal	Argentina	Capital Federal	-34.620643	-58.407774	360000.0	USD	273.0
apartment	Belgrano	Argentina	Capital Federal	-34.5663225	-58.46308570000001	170000.0	USD	69.0
apartment	Flores	Argentina	Capital Federal	-34.623473	-58.45892779999999	92000.0	USD	68.0
apartment	Parque Chas	Argentina	Capital Federal	-34.58423	-58.47870089999999	164220.0	USD	76.0
PH	Las Cañitas	Argentina	Capital Federal	-34.5724217384	-58.4314505154	158000.0	USD	55.0
apartment	Flores	Argentina	Capital Federal	-34.638369299999994	-58.4790524	74000.0	USD	55.0
apartment	Flores	Argentina	Capital Federal	-34.6269413949	-58.4692424492	96000.0	USD	51.0
apartment	Flores	Argentina	Capital Federal	-34.625064431300004	-58.4714895185	238000.0	USD	131.0
PH	Almagro	Argentina	Capital Federal	-34.6057422	-58.42451970000001	230000.0	USD	97.0
apartment	Capital Federal	Argentina	Capital Federal	-34.5479037398	-58.4659963265	82000.0	USD	56.0
apartment	Palermo	Argentina	Capital Federal	-34.5810409	-58.40622140000001	134000.0	USD	34.0
house	Mataderos	Argentina	Capital Federal	-34.652398100000006	-58.49385600000001	165000.0	USD	222.0
apartment	Palermo	Argentina	Capital Federal	-34.5731105	-58.4224486	1080000.0	USD	199.0
apartment	Recoleta	Argentina	Capital Federal	-34.5854359704	-58.390531539899996	450000.0	USD	160.0
apartment	Barracas	Argentina	Capital Federal	-34.6396767	-58.369328	295000.0	USD	229.0
apartment	Barracas	Argentina	Capital Federal	-34.6395757553	-58.3687689158	165355.0	USD	77.0
apartment	Barracas	Argentina	Capital Federal	-34.6396767	-58.369328	315000.0	USD	257.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.5898884	-58.385727	1250000.0	USD	251.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.58699620000001	-58.4078855	698000.0	USD	281.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.5822561	-58.4029623	430000.0	USD	149.0
apartment	Recoleta	Argentina	Capital Federal	-34.59202929999999	-58.388441500000006	320000.0	USD	108.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.595608299999995	-58.3863485	630000.0	USD	309.0
apartment	Barracas	Argentina	Capital Federal	-34.6396767	-58.369328	160000.0	USD	84.0
apartment	Barracas	Argentina	Capital Federal	-34.6396767	-58.369328	182858.0	USD	95.0
apartment	Barracas	Argentina	Capital Federal	-34.6396767	-58.369328	224500.0	USD	114.0
apartment	Belgrano	Argentina	Capital Federal	-34.5606643	-58.44220870000001	307650.0	USD	90.0
apartment	Belgrano	Argentina	Capital Federal	-34.5606643	-58.44220870000001	385014.0	USD	90.0
apartment	Belgrano	Argentina	Capital Federal	-34.5606643	-58.44220870000001	587895.0	USD	140.0
apartment	Belgrano	Argentina	Capital Federal	-34.5606643	-58.44220870000001	506468.0	USD	110.0
apartment	Recoleta	Argentina	Capital Federal	-34.594097399999995	-58.3911079	95000.0	USD	40.0
store	Barrio Norte	Argentina	Capital Federal	-34.593961	-58.38584399999999	590000.0	USD	247.0
apartment	Barracas	Argentina	Capital Federal	-34.6396767	-58.369328	218947.0	USD	88.0
apartment	Recoleta	Argentina	Capital Federal	-34.5895459	-58.39736360000001	540000.0	USD	170.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.5895459	-58.39736360000001	410000.0	USD	134.0
apartment	Recoleta	Argentina	Capital Federal	-34.5908338	-58.39499100000001	360000.0	USD	151.0
apartment	Recoleta	Argentina	Capital Federal	-34.589212100000005	-58.3843262	660000.0	USD	160.0
apartment	Villa Urquiza	Argentina	Capital Federal	-34.5769618381	-58.49311388050001	590000.0	USD	247.0
apartment	Belgrano	Argentina	Capital Federal	-34.571845399999994	-58.43273170000001	438000.0	USD	130.0
apartment	Retiro	Argentina	Capital Federal	-34.5896061	-58.3802473	570000.0	USD	206.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.59237529999999	-58.40601329999999	240000.0	USD	76.0
apartment	Palermo Chico	Argentina	Capital Federal	-34.5830421	-58.4000163	2850000.0	USD	529.0
apartment	Recoleta	Argentina	Capital Federal	-34.5874491	-58.38540749999999	420000.0	USD	148.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.590033	-58.4161744	249000.0	USD	89.0
apartment	Retiro	Argentina	Capital Federal	-34.591427	-58.380063	250000.0	USD	85.0
apartment	Recoleta	Argentina	Capital Federal	-34.5969883	-58.388055	1380000.0	USD	260.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.591717700000004	-58.400682	194000.0	USD	60.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.5924103	-58.3952593	135000.0	USD	43.0
apartment	Recoleta	Argentina	Capital Federal	-34.5882453	-58.3883029	940000.0	USD	227.0
apartment	Caballito	Argentina	Capital Federal	-34.606658797600005	-58.4488776741	95000.0	USD	40.0
apartment	Villa del Parque	Argentina	Capital Federal	-34.6160627	-58.5014443	99000.0	USD	49.0
apartment	Parque Chas	Argentina	Capital Federal	-34.58423	-58.47870089999999	138700.0	USD	70.0
apartment	Parque Chas	Argentina	Capital Federal	-34.58423	-58.47870089999999	133620.0	USD	64.0
apartment	Balvanera	Argentina	Capital Federal	-34.6011557	-58.4006557	100000.0	USD	66.0
apartment	Caballito	Argentina	Capital Federal	-34.6184909411	-58.437848430600006	245000.0	USD	103.0
apartment	Barracas	Argentina	Capital Federal	-34.6402642651	-58.378639445	330000.0	USD	130.0
apartment	Almagro	Argentina	Capital Federal	-34.6110583	-58.4201892	73038.0	USD	38.0
apartment	Almagro	Argentina	Capital Federal	-34.5978473909	-58.4260256868	79712.0	USD	44.0
apartment	Balvanera	Argentina	Capital Federal	-34.6031328142	-58.3946243302	148000.0	USD	80.0
apartment	Villa Devoto	Argentina	Capital Federal	-34.5939503	-58.50344079999999	85000.0	USD	43.0
apartment	Almagro	Argentina	Capital Federal	-34.600011149699995	-58.4274237455	81200.0	USD	35.0
apartment	Balvanera	Argentina	Capital Federal	-34.6031504762	-58.3945384995	148000.0	USD	80.0
store	Saavedra	Argentina	Capital Federal	-34.555073900000004	-58.4877475	230000.0	USD	105.0
apartment	Las Cañitas	Argentina	Capital Federal	-34.5679842	-58.4337564	138300.0	USD	33.0
PH	Monte Castro	Argentina	Capital Federal	-34.6192169	-58.50984570000001	235000.0	USD	118.0
house	Villa Pueyrredón	Argentina	Capital Federal	-34.5795711	-58.5048941	250000.0	USD	150.0
apartment	San Cristobal	Argentina	Capital Federal	-34.618949	-58.3944713	80000.0	USD	50.0
apartment	Barrio Norte	Argentina	Capital Federal	-34.6057005	-58.37796659999999	120000.0	USD	42.0
apartment	Recoleta	Argentina	Capital Federal	-34.590518	-58.388665	176000.0	USD	42.0
apartment	Recoleta	Argentina	Capital Federal	-34.590518	-58.388665	227000.0	USD	66.0
apartment	Recoleta	Argentina	Capital Federal	-34.591376000000004	-58.395475	163000.0	USD	89.0
apartment	Recoleta	Argentina	Capital Federal	-34.588761	-58.384762	1250000.0	USD	295.0
apartment	Coghlan	Argentina	Capital Federal	-34.565023	-58.47180400000001	181400.0	USD	62.0
apartment	Coghlan	Argentina	Capital Federal	-34.565023	-58.47180400000001	98800.0	USD	38.0
apartment	Balvanera	Argentina	Capital Federal	-34.610365	-58.411821	105000.0	USD	45.0
apartment	Palermo Soho	Argentina	Capital Federal	-34.5899723	-58.4236546	90000.0	USD	38.0
apartment	Balvanera	Argentina	Capital Federal	-34.6056268	-58.392264	146000.0	USD	53.0
apartment	Centro / Microcentro	Argentina	Capital Federal	-34.60327279999999	-58.3961414	89000.0	USD	34.0
PH	Colegiales	Argentina	Capital Federal	-34.5776674	-58.4608381	429000.0	USD	265.0
apartment	Liniers	Argentina	Capital Federal	-34.640522999999995	-58.5293313	88000.0	USD	67.0
store	Centro / Microcentro	Argentina	Capital Federal	-34.599865	-58.37584	295000.0	USD	40.0
apartment	Floresta	Argentina	Capital Federal	-34.63613400000001	-58.4915095	83000.0	USD	45.0
apartment	Floresta	Argentina	Capital Federal	-34.6361282	-58.49151170000001	83000.0	USD	45.0
apartment	Caballito	Argentina	Capital Federal	-34.613614	-58.4626458	70900.0	USD	32.0
apartment	Parque Avellaneda	Argentina	Capital Federal	-34.652907050900005	-58.4763292624	70000.0	USD	48.0
apartment	Recoleta	Argentina	Capital Federal	-34.5968661	-58.4031951	107000.0	USD	35.0
house	Belgrano	Argentina	Capital Federal	-34.569246	-58.4711497	635000.0	USD	433.0
apartment	Belgrano	Argentina	Capital Federal	-34.5673754305	-58.450069446	239000.0	USD	132.0
store	Centro / Microcentro	Argentina	Capital Federal	-34.598050967199995	-58.3797288069	195000.0	USD	49.0
apartment	Palermo	Argentina	Capital Federal	-34.571149600000005	-58.4232966	130000.0	USD	36.0
apartment	Belgrano	Argentina	Capital Federal	-34.5519693	-58.4434368	1200000.0	USD	200.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.609889700000004	-58.361364	1100000.0	USD	191.0
apartment	Recoleta	Argentina	Capital Federal	-34.5886091	-58.3853312	178000.0	USD	41.0
apartment	Recoleta	Argentina	Capital Federal	-34.590542600000006	-58.38723140000001	505000.0	USD	120.0
apartment	Recoleta	Argentina	Capital Federal	-34.5946641	-58.37918620000001	235000.0	USD	92.0
apartment	Palermo	Argentina	Capital Federal	-34.5872575	-58.40886210000001	360000.0	USD	92.0
apartment	Recoleta	Argentina	Capital Federal	-34.5895459	-58.39736360000001	690000.0	USD	237.0
apartment	San Cristobal	Argentina	Capital Federal	-34.6244262	-58.39736360000001	85000.0	USD	72.0
apartment	Puerto Madero	Argentina	Capital Federal	-34.6177194	-58.3620561	225000.0	USD	38.0
PH	Almagro	Argentina	Capital Federal	-34.6110583	-58.4201892	230000.0	USD	90.0
apartment	Balvanera	Argentina	Capital Federal	-34.6131034218	-58.400912722700006	145000.0	USD	175.0
apartment	Palermo Hollywood	Argentina	Capital Federal	-34.58491710000001	-58.4429864	95000.0	USD	37.0
store	Villa del Parque	Argentina	Capital Federal	-34.6025915	-58.48898620000001	125000.0	USD	38.0
apartment	Recoleta	Argentina	Capital Federal	-34.5951279	-58.3784456	490000.0	USD	193.0
apartment	Flores	Argentina	Capital Federal	-34.628518	-58.461035	110000.0	USD	85.0
apartment	Palermo Soho	Argentina	Capital Federal	-34.5921821	-58.4269654	95000.0	USD	38.0
apartment	Centro / Microcentro	Argentina	Capital Federal	-34.6030353261	-58.376682843999994	72500.0	USD	35.0
PH	Liniers	Argentina	Capital Federal	-34.6463591184	-58.5155755016	127000.0	USD	99.0
apartment	Villa Crespo	Argentina	Capital Federal	-34.6024297	-58.42986479999999	144500.0	USD	60.0
apartment	Caballito	Argentina	Capital Federal	-34.6097156	-58.4433275	224500.0	USD	119.0
apartment	Almagro	Argentina	Capital Federal	-34.6024297	-58.42986479999999	144500.0	USD	60.0
apartment	Balvanera	Argentina	Capital Federal	-34.6136992	-58.389759700000006	78000.0	USD	37.0
apartment	Caballito	Argentina	Capital Federal	-34.6209278	-58.44587360000001	270000.0	USD	160.0
apartment	Parque Avellaneda	Argentina	Capital Federal	-34.647382	-58.4772734	90000.0	USD	59.0
PH	Parque Avellaneda	Argentina	Capital Federal	-34.647382	-58.4772734	90000.0	USD	59.0
PH	Flores	Argentina	Capital Federal	-34.6447229	-58.4687972	90000.0	USD	59.0
